codigo,nome,preco,estoque
P00086,Produto86,119.57,208
P00087,Produto87,495.44,718
P00088,Produto88,108.3,200
P00089,Produto89,216.69,566
P00090,Produto90,800.04,968
P00091,Produto91,1.07,652
P00092,Produto92,963.78,81
P00093,Produto93,358.41,285
P00094,Produto94,334.34,975
P00095,Produto95,339.91,688
P00096,Produto96,602.12,986
P00097,Produto97,235.0,533
P00098,Produto98,573.3,280
P00099,Produto99,305.69,377
P00100,Produto100,155.55,428
P00101,Produto101,300.22,13
P00102,Produto102,412.99,339
P00103,Produto103,129.5,561
P00104,Produto104,836.88,513
P00105,Produto105,368.6,376
P00106,Produto106,534.51,878
P00107,Produto107,328.01,508
P00108,Produto108,459.06,879
P00109,Produto109,676.78,804
P00110,Produto110,272.89,544
P00111,Produto111,677.22,730
P00112,Produto112,809.89,800
P00113,Produto113,250.2,211
P00114,Produto114,220.57,648
P00115,Produto115,882.76,560
P00116,Produto116,277.13,277
P00117,Produto117,531.7,420
P00118,Produto118,878.03,486
P00119,Produto119,424.59,315
P00120,Produto120,932.38,95
P00121,Produto121,503.31,216
P00122,Produto122,839.87,257
P00123,Produto123,51.21,976
P00124,Produto124,712.36,175
P00125,Produto125,397.87,37
P00126,Produto126,910.04,652
P00127,Produto127,572.94,774
P00128,Produto128,917.49,956
P00129,Produto129,433.6,85
P00130,Produto130,342.31,980
P00131,Produto131,406.97,634
P00132,Produto132,710.08,774
P00133,Produto133,626.9,258
P00134,Produto134,809.45,230
P00135,Produto135,534.92,285
P00136,Produto136,46.04,139
P00137,Produto137,845.51,795
P00138,Produto138,520.86,67
P00139,Produto139,311.87,52
P00140,Produto140,142.2,58
P00141,Produto141,426.99,939
P00142,Produto142,197.56,58
P00143,Produto143,548.76,201
P00144,Produto144,301.93,891
P00145,Produto145,35.94,548
P00146,Produto146,150.1,240
P00147,Produto147,389.66,646
P00148,Produto148,578.89,559
P00149,Produto149,564.05,894
P00150,Produto150,167.97,857
P00151,Produto151,717.73,254
P00152,Produto152,269.71,459
P00153,Produto153,330.82,479
P00154,Produto154,262.71,628
P00155,Produto155,923.6,864
P00156,Produto156,529.86,562
P00157,Produto157,470.25,430
P00158,Produto158,710.99,426
P00159,Produto159,943.03,989
P00160,Produto160,213.53,44
P00161,Produto161,275.43,158
P00162,Produto162,490.46,309
P00163,Produto163,276.83,83
P00164,Produto164,447.57,200
P00165,Produto165,644.73,973
P00166,Produto166,452.02,707
P00167,Produto167,613.46,225
P00168,Produto168,828.54,290
P00169,Produto169,828.41,855
P00170,Produto170,409.39,215
P00171,Produto171,695.33,587
P00172,Produto172,617.74,302
P00173,Produto173,602.59,355
P00174,Produto174,841.5,644
P00175,Produto175,43.43,9
P00176,Produto176,628.16,459
P00177,Produto177,808.36,720
P00178,Produto178,664.18,31
P00179,Produto179,45.02,563
P00180,Produto180,557.32,75
P00181,Produto181,9.63,912
P00182,Produto182,473.64,22
P00183,Produto183,812.07,870
P00184,Produto184,803.52,367
P00185,Produto185,528.16,96
P00186,Produto186,34.34,913
P00187,Produto187,891.26,465
P00188,Produto188,508.63,203
P00189,Produto189,604.52,289
P00190,Produto190,969.35,484
P00191,Produto191,538.63,313
P00192,Produto192,734.47,961
P00193,Produto193,134.36,743
P00194,Produto194,509.11,639
P00195,Produto195,189.49,142
P00196,Produto196,316.82,970
P00197,Produto197,216.49,276
P00198,Produto198,206.93,57
P00199,Produto199,672.69,3
P00200,Produto200,853.06,348
P00201,Produto201,243.65,227
P00202,Produto202,545.68,255
P00203,Produto203,643.82,727
P00204,Produto204,2.83,150
P00205,Produto205,477.75,799
P00206,Produto206,733.98,411
P00207,Produto207,778.19,400
P00208,Produto208,460.67,956
P00209,Produto209,102.51,92
P00210,Produto210,960.7,398
P00211,Produto211,52.3,807
P00212,Produto212,345.58,722
P00213,Produto213,794.5,874
P00214,Produto214,616.26,658
P00215,Produto215,219.67,896
P00216,Produto216,936.52,209
P00217,Produto217,85.66,397
P00218,Produto218,217.13,61
P00219,Produto219,732.81,561
P00220,Produto220,510.82,578
P00221,Produto221,685.0,46
P00222,Produto222,658.51,622
P00223,Produto223,912.88,295
P00224,Produto224,620.37,71
P00225,Produto225,198.81,146
P00226,Produto226,511.09,895
P00227,Produto227,500.9,39
P00228,Produto228,318.53,509
P00229,Produto229,214.23,910
P00230,Produto230,242.23,630
P00231,Produto231,339.93,334
P00232,Produto232,650.5,518
P00233,Produto233,478.69,628
P00234,Produto234,99.69,51
P00235,Produto235,464.07,456
P00236,Produto236,953.33,67
P00237,Produto237,572.16,864
P00238,Produto238,278.61,812
P00239,Produto239,211.93,312
P00240,Produto240,402.85,407
P00241,Produto241,639.12,2
P00242,Produto242,147.72,427
P00243,Produto243,43.65,513
P00244,Produto244,155.75,239
P00245,Produto245,424.75,867
P00246,Produto246,932.51,417
P00247,Produto247,283.69,725
P00248,Produto248,573.5,17
P00249,Produto249,191.2,210
P00250,Produto250,301.29,512
P00251,Produto251,245.96,184
P00252,Produto252,39.5,689
P00253,Produto253,65.76,61
P00254,Produto254,257.45,57
P00255,Produto255,585.19,615
P00256,Produto256,441.43,477
P00257,Produto257,98.53,378
P00258,Produto258,209.65,502
P00259,Produto259,24.01,714
P00260,Produto260,441.23,3
P00261,Produto261,196.33,533
P00262,Produto262,946.41,335
P00263,Produto263,60.01,592
P00264,Produto264,162.8,76
P00265,Produto265,349.66,281
P00266,Produto266,986.29,532
P00267,Produto267,183.84,510
P00268,Produto268,442.5,724
P00269,Produto269,335.84,728
P00270,Produto270,892.33,648
P00271,Produto271,771.99,661
P00272,Produto272,524.8,121
P00273,Produto273,324.0,341
P00274,Produto274,306.3,934
P00275,Produto275,587.48,266
P00276,Produto276,180.14,799
P00277,Produto277,993.39,743
P00278,Produto278,280.32,717
P00279,Produto279,685.25,169
P00280,Produto280,555.27,722
P00281,Produto281,54.1,359
P00282,Produto282,796.32,528
P00283,Produto283,843.56,329
P00284,Produto284,83.76,681
P00285,Produto285,877.96,495
P00286,Produto286,141.73,872
P00287,Produto287,656.12,733
P00288,Produto288,320.52,142
P00289,Produto289,478.5,417
P00290,Produto290,656.99,786
P00291,Produto291,895.79,189
P00292,Produto292,640.09,611
P00293,Produto293,886.36,351
P00294,Produto294,568.71,379
P00295,Produto295,718.73,609
P00296,Produto296,403.63,676
P00297,Produto297,266.09,12
P00298,Produto298,60.55,843
P00299,Produto299,281.35,709
P00300,Produto300,203.83,839
P00301,Produto301,173.7,611
P00302,Produto302,622.7,198
P00303,Produto303,178.83,322
P00304,Produto304,194.04,565
P00305,Produto305,236.09,590
P00306,Produto306,570.65,725
P00307,Produto307,881.11,379
P00308,Produto308,581.88,788
P00309,Produto309,857.03,32
P00310,Produto310,67.81,832
P00311,Produto311,657.12,151
P00312,Produto312,349.24,421
P00313,Produto313,318.57,683
P00314,Produto314,995.29,843
P00315,Produto315,435.07,397
P00316,Produto316,758.53,715
P00317,Produto317,343.07,926
P00318,Produto318,249.47,742
P00319,Produto319,767.79,339
P00320,Produto320,682.13,118
P00321,Produto321,640.29,480
P00322,Produto322,845.23,790
P00323,Produto323,746.06,906
P00324,Produto324,28.0,207
P00325,Produto325,693.69,983
P00326,Produto326,179.87,539
P00327,Produto327,698.0,26
P00328,Produto328,711.3,660
P00329,Produto329,93.52,360
P00330,Produto330,884.36,63
P00331,Produto331,882.28,345
P00332,Produto332,77.99,984
P00333,Produto333,889.19,193
P00334,Produto334,779.84,894
P00335,Produto335,921.12,623
P00336,Produto336,579.11,935
P00337,Produto337,665.71,795
P00338,Produto338,509.27,779
P00339,Produto339,626.45,43
P00340,Produto340,575.72,783
P00341,Produto341,319.45,927
P00342,Produto342,945.44,589
P00343,Produto343,635.39,698
P00344,Produto344,618.31,720
P00345,Produto345,564.76,777
P00346,Produto346,614.29,699
P00347,Produto347,843.75,41
P00348,Produto348,856.21,819
P00349,Produto349,637.7,381
P00350,Produto350,869.05,772
P00351,Produto351,69.87,39
P00352,Produto352,310.97,559
P00353,Produto353,773.1,458
P00354,Produto354,62.32,783
P00355,Produto355,579.58,944
P00356,Produto356,679.83,890
P00357,Produto357,275.81,109
P00358,Produto358,249.38,803
P00359,Produto359,258.83,869
P00360,Produto360,597.63,721
P00361,Produto361,940.39,68
P00362,Produto362,193.8,651
P00363,Produto363,581.61,801
P00364,Produto364,657.03,30
P00365,Produto365,404.78,972
P00366,Produto366,56.7,869
P00367,Produto367,968.49,989
P00368,Produto368,939.72,477
P00369,Produto369,917.73,653
P00370,Produto370,476.31,746
P00371,Produto371,279.42,299
P00372,Produto372,971.57,451
P00373,Produto373,255.87,43
P00374,Produto374,435.2,970
P00375,Produto375,534.5,805
P00376,Produto376,650.28,578
P00377,Produto377,26.35,34
P00378,Produto378,474.28,811
P00379,Produto379,119.35,197
P00380,Produto380,601.21,186
P00381,Produto381,92.98,638
P00382,Produto382,897.71,719
P00383,Produto383,836.49,279
P00384,Produto384,506.58,452
P00385,Produto385,204.07,670
P00386,Produto386,208.4,445
P00387,Produto387,26.48,218
P00388,Produto388,468.3,955
P00389,Produto389,859.86,369
P00390,Produto390,74.41,987
P00391,Produto391,756.76,388
P00392,Produto392,83.83,43
P00393,Produto393,484.78,832
P00394,Produto394,16.3,313
P00395,Produto395,938.4,75
P00396,Produto396,970.91,340
P00397,Produto397,135.3,841
P00398,Produto398,40.65,812
P00399,Produto399,542.24,2
P00400,Produto400,186.01,234
P00401,Produto401,329.58,790
P00402,Produto402,185.78,13
P00403,Produto403,532.43,6
P00404,Produto404,803.99,703
P00405,Produto405,628.29,597
P00406,Produto406,509.13,733
P00407,Produto407,577.73,195
P00408,Produto408,168.39,267
P00409,Produto409,637.72,341
P00410,Produto410,852.61,207
P00411,Produto411,268.03,742
P00412,Produto412,347.12,839
P00413,Produto413,565.53,465
P00414,Produto414,180.97,165
P00415,Produto415,43.51,571
P00416,Produto416,558.55,896
P00417,Produto417,16.55,954
P00418,Produto418,572.19,723
P00419,Produto419,105.17,684
P00420,Produto420,730.14,344
P00421,Produto421,410.86,682
P00422,Produto422,411.08,656
P00423,Produto423,192.04,140
P00424,Produto424,607.32,591
P00425,Produto425,987.87,661
P00426,Produto426,145.71,705
P00427,Produto427,513.73,568
P00428,Produto428,781.56,506
P00429,Produto429,117.59,751
P00430,Produto430,338.83,548
P00431,Produto431,240.26,529
P00432,Produto432,915.39,909
P00433,Produto433,524.31,209
P00434,Produto434,904.17,531
P00435,Produto435,758.53,989
P00436,Produto436,374.59,799
P00437,Produto437,81.34,196
P00438,Produto438,81.36,588
P00439,Produto439,814.15,277
P00440,Produto440,220.01,359
P00441,Produto441,862.56,859
P00442,Produto442,212.01,234
P00443,Produto443,150.33,819
P00444,Produto444,225.37,721
P00445,Produto445,35.27,217
P00446,Produto446,487.81,390
P00447,Produto447,62.84,730
P00448,Produto448,359.15,875
P00449,Produto449,553.86,537
P00450,Produto450,855.55,513
P00451,Produto451,874.54,15
P00452,Produto452,351.25,270
P00453,Produto453,155.88,866
P00454,Produto454,138.05,155
P00455,Produto455,481.98,512
P00456,Produto456,505.9,605
P00457,Produto457,500.18,345
P00458,Produto458,646.76,498
P00459,Produto459,444.45,546
P00460,Produto460,835.97,389
P00461,Produto461,802.87,528
P00462,Produto462,927.76,152
P00463,Produto463,737.33,503
P00464,Produto464,784.01,777
P00465,Produto465,481.55,753
P00466,Produto466,411.74,308
P00467,Produto467,742.21,256
P00468,Produto468,74.32,658
P00469,Produto469,964.49,985
P00470,Produto470,936.59,936
P00471,Produto471,624.63,350
P00472,Produto472,554.8,87
P00473,Produto473,251.67,104
P00474,Produto474,164.98,19
P00475,Produto475,303.51,756
P00476,Produto476,850.09,268
P00477,Produto477,490.17,258
P00478,Produto478,661.39,992
P00479,Produto479,996.71,738
P00480,Produto480,740.93,57
P00481,Produto481,174.43,721
P00482,Produto482,90.24,684
P00483,Produto483,786.62,371
P00484,Produto484,475.92,493
P00485,Produto485,183.33,828
P00486,Produto486,237.96,866
P00487,Produto487,886.37,727
P00488,Produto488,571.62,419
P00489,Produto489,45.22,456
P00490,Produto490,277.81,511
P00491,Produto491,196.52,328
P00492,Produto492,579.17,218
P00493,Produto493,828.62,254
P00494,Produto494,572.97,546
P00495,Produto495,174.0,250
P00496,Produto496,363.97,859
P00497,Produto497,498.9,983
P00498,Produto498,637.36,76
P00499,Produto499,551.8,170
P00500,Produto500,260.61,484
P00501,Produto501,187.34,84
P00502,Produto502,580.13,828
P00503,Produto503,978.2,305
P00504,Produto504,693.82,679
P00505,Produto505,300.69,158
P00506,Produto506,300.89,945
P00507,Produto507,316.91,167
P00508,Produto508,488.33,928
P00509,Produto509,168.02,176
P00510,Produto510,604.48,442
P00511,Produto511,657.36,662
P00512,Produto512,855.54,441
P00513,Produto513,703.78,300
P00514,Produto514,769.54,69
P00515,Produto515,141.84,516
P00516,Produto516,39.2,152
P00517,Produto517,154.33,555
P00518,Produto518,456.38,270
P00519,Produto519,328.75,455
P00520,Produto520,366.26,874
P00521,Produto521,317.61,366
P00522,Produto522,552.43,163
P00523,Produto523,263.61,439
P00524,Produto524,2.63,831
P00525,Produto525,184.39,235
P00526,Produto526,430.77,845
P00527,Produto527,143.74,741
P00528,Produto528,167.26,503
P00529,Produto529,613.31,795
P00530,Produto530,949.92,617
P00531,Produto531,353.2,134
P00532,Produto532,133.04,770
P00533,Produto533,705.99,853
P00534,Produto534,454.51,128
P00535,Produto535,794.11,291
P00536,Produto536,54.95,546
P00537,Produto537,677.28,732
P00538,Produto538,323.7,696
P00539,Produto539,660.39,649
P00540,Produto540,381.05,336
P00541,Produto541,629.65,242
P00542,Produto542,918.57,866
P00543,Produto543,869.32,663
P00544,Produto544,584.17,590
P00545,Produto545,172.77,230
P00546,Produto546,79.61,280
P00547,Produto547,330.17,975
P00548,Produto548,346.31,118
P00549,Produto549,750.64,406
P00550,Produto550,357.08,423
P00551,Produto551,971.36,537
P00552,Produto552,794.79,499
P00553,Produto553,563.2,368
P00554,Produto554,909.25,682
P00555,Produto555,236.42,960
P00556,Produto556,694.94,974
P00557,Produto557,726.51,620
P00558,Produto558,959.75,615
P00559,Produto559,332.89,462
P00560,Produto560,955.58,540
P00561,Produto561,83.04,108
P00562,Produto562,753.38,667
P00563,Produto563,987.44,279
P00564,Produto564,558.28,765
P00565,Produto565,35.09,39
P00566,Produto566,190.58,548
P00567,Produto567,433.85,344
P00568,Produto568,977.83,50
P00569,Produto569,975.61,40
P00570,Produto570,942.78,716
P00571,Produto571,73.62,444
P00572,Produto572,285.81,92
P00573,Produto573,529.67,125
P00574,Produto574,890.23,714
P00575,Produto575,879.41,803
P00576,Produto576,811.35,569
P00577,Produto577,545.33,618
P00578,Produto578,309.85,199
P00579,Produto579,880.73,638
P00580,Produto580,934.81,436
P00581,Produto581,378.87,196
P00582,Produto582,472.3,392
P00583,Produto583,892.61,407
P00584,Produto584,933.92,877
P00585,Produto585,2.45,578
P00586,Produto586,783.94,497
P00587,Produto587,735.09,101
P00588,Produto588,827.09,525
P00589,Produto589,752.4,13
P00590,Produto590,960.93,517
P00591,Produto591,683.61,876
P00592,Produto592,369.01,27
P00593,Produto593,954.46,718
P00594,Produto594,394.76,102
P00595,Produto595,920.64,782
P00596,Produto596,568.66,445
P00597,Produto597,967.89,300
P00598,Produto598,999.29,240
P00599,Produto599,869.34,752
P00600,Produto600,847.67,122
P00601,Produto601,323.12,700
P00602,Produto602,644.97,47
P00603,Produto603,239.82,244
P00604,Produto604,153.18,35
P00605,Produto605,253.74,614
P00606,Produto606,795.86,748
P00607,Produto607,449.96,870
P00608,Produto608,495.41,110
P00609,Produto609,506.12,118
P00610,Produto610,154.51,821
P00611,Produto611,654.23,747
P00612,Produto612,901.38,225
P00613,Produto613,490.63,249
P00614,Produto614,436.19,863
P00615,Produto615,122.13,947
P00616,Produto616,943.56,771
P00617,Produto617,897.01,990
P00618,Produto618,72.67,83
P00619,Produto619,840.84,313
P00620,Produto620,473.14,413
P00621,Produto621,286.28,552
P00622,Produto622,139.33,885
P00623,Produto623,877.38,444
P00624,Produto624,108.19,365
P00625,Produto625,731.43,228
P00626,Produto626,307.73,305
P00627,Produto627,40.27,274
P00628,Produto628,515.55,774
P00629,Produto629,53.47,920
P00630,Produto630,60.96,12
P00631,Produto631,632.16,633
P00632,Produto632,509.87,823
P00633,Produto633,26.67,344
P00634,Produto634,451.3,256
P00635,Produto635,102.37,48
P00636,Produto636,151.44,569
P00637,Produto637,684.85,496
P00638,Produto638,712.32,360
P00639,Produto639,613.16,685
P00640,Produto640,243.31,139
P00641,Produto641,985.15,836
P00642,Produto642,11.31,513
P00643,Produto643,82.36,53
P00644,Produto644,41.53,730
P00645,Produto645,490.0,809
P00646,Produto646,194.16,563
P00647,Produto647,560.19,497
P00648,Produto648,108.59,198
P00649,Produto649,777.96,977
P00650,Produto650,31.75,943
P00651,Produto651,511.49,35
P00652,Produto652,884.53,342
P00653,Produto653,893.08,13
P00654,Produto654,713.66,746
P00655,Produto655,398.77,703
P00656,Produto656,964.77,242
P00657,Produto657,835.01,151
P00658,Produto658,638.65,633
P00659,Produto659,405.17,457
P00660,Produto660,508.23,794
P00661,Produto661,882.25,337
P00662,Produto662,210.1,343
P00663,Produto663,253.83,853
P00664,Produto664,218.94,958
P00665,Produto665,875.17,617
P00666,Produto666,297.75,740
P00667,Produto667,218.08,561
P00668,Produto668,614.15,447
P00669,Produto669,140.61,922
P00670,Produto670,864.08,104
P00671,Produto671,599.34,554
P00672,Produto672,544.83,537
P00673,Produto673,248.59,762
P00674,Produto674,59.2,771
P00675,Produto675,441.9,896
P00676,Produto676,84.73,119
P00677,Produto677,288.54,637
P00678,Produto678,997.93,637
P00679,Produto679,148.61,999
P00680,Produto680,961.0,135
P00681,Produto681,285.9,718
P00682,Produto682,293.28,280
P00683,Produto683,256.96,221
P00684,Produto684,650.7,705
P00685,Produto685,676.25,871
P00686,Produto686,680.26,422
P00687,Produto687,295.2,630
P00688,Produto688,756.96,224
P00689,Produto689,41.72,924
P00690,Produto690,293.71,3
P00691,Produto691,681.32,458
P00692,Produto692,78.34,898
P00693,Produto693,428.77,179
P00694,Produto694,960.25,605
P00695,Produto695,567.12,518
P00696,Produto696,277.36,142
P00697,Produto697,817.89,696
P00698,Produto698,585.35,647
P00699,Produto699,72.34,4
P00700,Produto700,360.89,556
P00701,Produto701,465.76,877
P00702,Produto702,704.17,134
P00703,Produto703,413.73,59
P00704,Produto704,794.06,300
P00705,Produto705,176.15,408
P00706,Produto706,573.96,163
P00707,Produto707,159.32,155
P00708,Produto708,512.18,248
P00709,Produto709,645.82,120
P00710,Produto710,200.86,421
P00711,Produto711,509.37,450
P00712,Produto712,849.29,403
P00713,Produto713,616.14,61
P00714,Produto714,108.09,520
P00715,Produto715,859.19,765
P00716,Produto716,294.53,879
P00717,Produto717,272.64,356
P00718,Produto718,242.3,877
P00719,Produto719,253.07,668
P00720,Produto720,364.08,438
P00721,Produto721,317.19,32
P00722,Produto722,87.68,243
P00723,Produto723,372.45,46
P00724,Produto724,560.14,653
P00725,Produto725,220.78,263
P00726,Produto726,818.57,630
P00727,Produto727,286.55,303
P00728,Produto728,685.69,880
P00729,Produto729,944.6,553
P00730,Produto730,76.18,246
P00731,Produto731,697.53,598
P00732,Produto732,636.83,818
P00733,Produto733,258.38,527
P00734,Produto734,265.71,299
P00735,Produto735,70.41,842
P00736,Produto736,527.41,27
P00737,Produto737,872.43,24
P00738,Produto738,252.13,258
P00739,Produto739,10.05,897
P00740,Produto740,40.22,803
P00741,Produto741,51.83,876
P00742,Produto742,565.45,747
P00743,Produto743,678.11,852
P00744,Produto744,636.15,483
P00745,Produto745,298.72,463
P00746,Produto746,783.4,326
P00747,Produto747,473.3,923
P00748,Produto748,612.94,355
P00749,Produto749,281.44,160
P00750,Produto750,590.04,941
P00751,Produto751,803.3,839
P00752,Produto752,869.68,692
P00753,Produto753,829.5,85
P00754,Produto754,358.3,161
P00755,Produto755,689.07,121
P00756,Produto756,96.96,29
P00757,Produto757,316.53,565
P00758,Produto758,921.7,781
P00759,Produto759,463.26,878
P00760,Produto760,837.78,505
P00761,Produto761,759.11,883
P00762,Produto762,214.52,94
P00763,Produto763,568.35,217
P00764,Produto764,796.14,754
P00765,Produto765,641.92,989
P00766,Produto766,969.04,676
P00767,Produto767,597.05,337
P00768,Produto768,429.48,356
P00769,Produto769,242.83,314
P00770,Produto770,706.57,475
P00771,Produto771,50.09,83
P00772,Produto772,919.1,172
P00773,Produto773,228.01,28
P00774,Produto774,805.41,47
P00775,Produto775,662.47,515
P00776,Produto776,98.28,161
P00777,Produto777,868.71,188
P00778,Produto778,210.74,11
P00779,Produto779,811.88,103
P00780,Produto780,221.82,318
P00781,Produto781,590.82,477
P00782,Produto782,690.01,2
P00783,Produto783,455.05,617
P00784,Produto784,531.93,839
P00785,Produto785,399.19,119
P00786,Produto786,850.26,807
P00787,Produto787,541.84,405
P00788,Produto788,964.85,319
P00789,Produto789,330.52,852
P00790,Produto790,534.33,732
P00791,Produto791,143.96,215
P00792,Produto792,856.77,340
P00793,Produto793,504.14,761
P00794,Produto794,924.85,582
P00795,Produto795,734.67,508
P00796,Produto796,346.41,618
P00797,Produto797,960.79,199
P00798,Produto798,779.17,47
P00799,Produto799,614.53,892
P00800,Produto800,254.99,866
P00801,Produto801,295.41,613
P00802,Produto802,125.71,271
P00803,Produto803,870.35,617
P00804,Produto804,620.61,905
P00805,Produto805,277.68,194
P00806,Produto806,843.94,214
P00807,Produto807,920.98,832
P00808,Produto808,632.87,953
P00809,Produto809,473.81,756
P00810,Produto810,331.02,203
P00811,Produto811,535.94,563
P00812,Produto812,546.32,693
P00813,Produto813,40.99,353
P00814,Produto814,168.06,299
P00815,Produto815,452.66,999
P00816,Produto816,199.06,420
P00817,Produto817,905.21,282
P00818,Produto818,283.36,803
P00819,Produto819,136.55,993
P00820,Produto820,74.77,852
P00821,Produto821,559.21,671
P00822,Produto822,576.07,923
P00823,Produto823,399.67,409
P00824,Produto824,362.95,263
P00825,Produto825,889.05,598
P00826,Produto826,955.89,355
P00827,Produto827,213.34,30
P00828,Produto828,715.83,230
P00829,Produto829,220.22,851
P00830,Produto830,726.63,260
P00831,Produto831,933.2,138
P00832,Produto832,907.79,442
P00833,Produto833,196.47,187
P00834,Produto834,954.45,790
P00835,Produto835,689.86,798
P00836,Produto836,580.23,529
P00837,Produto837,302.12,541
P00838,Produto838,180.09,757
P00839,Produto839,630.21,125
P00840,Produto840,130.75,468
P00841,Produto841,6.9,116
P00842,Produto842,670.7,126
P00843,Produto843,856.82,292
P00844,Produto844,976.12,884
P00845,Produto845,555.58,7
P00846,Produto846,466.07,945
P00847,Produto847,85.43,449
P00848,Produto848,931.05,269
P00849,Produto849,793.35,946
P00850,Produto850,863.3,338
P00851,Produto851,929.49,772
P00852,Produto852,641.09,391
P00853,Produto853,13.54,318
P00854,Produto854,156.14,735
P00855,Produto855,550.55,529
P00856,Produto856,508.22,470
P00857,Produto857,779.22,309
P00858,Produto858,157.53,529
P00859,Produto859,132.5,124
P00860,Produto860,29.69,875
P00861,Produto861,367.16,938
P00862,Produto862,294.4,835
P00863,Produto863,554.18,259
P00864,Produto864,728.53,738
P00865,Produto865,61.72,667
P00866,Produto866,587.18,518
P00867,Produto867,751.94,943
P00868,Produto868,430.78,701
P00869,Produto869,182.89,967
P00870,Produto870,835.6,745
P00871,Produto871,263.45,13
P00872,Produto872,455.22,19
P00873,Produto873,157.95,957
P00874,Produto874,384.6,278
P00875,Produto875,23.71,965
P00876,Produto876,445.14,368
P00877,Produto877,852.57,47
P00878,Produto878,576.92,511
P00879,Produto879,667.93,763
P00880,Produto880,720.73,6
P00881,Produto881,133.93,953
P00882,Produto882,802.22,957
P00883,Produto883,160.93,727
P00884,Produto884,795.15,787
P00885,Produto885,888.7,726
P00886,Produto886,103.01,536
P00887,Produto887,578.69,387
P00888,Produto888,718.99,799
P00889,Produto889,36.21,702
P00890,Produto890,350.88,379
P00891,Produto891,591.81,622
P00892,Produto892,917.64,24
P00893,Produto893,535.18,595
P00894,Produto894,189.18,611
P00895,Produto895,914.91,457
P00896,Produto896,3.53,281
P00897,Produto897,185.64,886
P00898,Produto898,653.03,840
P00899,Produto899,445.73,28
P00900,Produto900,287.63,675
P00901,Produto901,298.25,407
P00902,Produto902,362.22,373
P00903,Produto903,238.6,453
P00904,Produto904,999.81,919
P00905,Produto905,601.01,944
P00906,Produto906,363.3,712
P00907,Produto907,293.92,925
P00908,Produto908,646.74,145
P00909,Produto909,869.29,966
P00910,Produto910,456.37,711
P00911,Produto911,867.85,938
P00912,Produto912,131.0,488
P00913,Produto913,566.29,883
P00914,Produto914,611.56,90
P00915,Produto915,281.97,548
P00916,Produto916,528.25,40
P00917,Produto917,12.66,118
P00918,Produto918,316.83,901
P00919,Produto919,610.11,167
P00920,Produto920,399.92,301
P00921,Produto921,766.55,74
P00922,Produto922,961.48,461
P00923,Produto923,643.93,497
P00924,Produto924,318.41,251
P00925,Produto925,906.1,176
P00926,Produto926,384.81,287
P00927,Produto927,485.81,285
P00928,Produto928,285.97,179
P00929,Produto929,402.96,938
P00930,Produto930,928.55,862
P00931,Produto931,504.96,102
